id,name,party
274,RepJohnKatko,0
275,USRepKeating,0
276,RepFredKeller,0
277,MikeKellyPA,0
278,RepRobinKelly,0
279,RepRoKhanna,0
280,RepDanKildee,0
281,RepDerekKilmer,0
282,RepAndyKimNJ,0
283,RepYoungKim,0
284,RepRonKind,0
285,RepKirkpatrick,0
286,CongressmanRaja,0
287,RepAnnieKuster,0
288,RepDavidKustoff,0
289,RepLaHood,0
290,RepLaMalfa,0
291,JimLangevin,0
292,RepRickLarsen,0
293,RepJohnLarson,0
294,boblatta,0
295,RepLaTurner,0
296,RepLawrence,0
297,RepAlLawsonJr,0
298,RepBarbaraLee,0
299,RepSusieLee,0
300,RepTeresaLF,0
301,RepDLesko,0
302,RepJuliaLetlow,0
303,RepAndyLevin,0
304,RepMikeLevin,0
305,RepTedLieu,0
306,USRepLong,0
307,RepLoudermilk,0
308,RepLowenthal,0
309,RepFrankLucas,0
310,RepBlaine,0
311,RepElaineLuria,0
312,RepNancyMace,0
313,RepMalinowski,0
314,RepMalliotakis,0
315,RepMaloney,0
316,RepSeanMaloney,0
317,RepKManning,0
318,RepThomasMassie,0
319,RepBrianMast,0
320,DorisMatsui,0
321,RepLucyMcBath,0
322,GOPLeader,0
323,RepMcCaul,0
324,RepLisaMcClain,0
325,BettyMcCollum04,0
326,RepMcEachin,0
327,RepMcGovern,0
328,PatrickMcHenry,0
329,RepMcKinley,0
330,RepGregoryMeeks,0
331,RepMeijer,0
332,RepGraceMeng,0
333,RepMeuser,0
334,RepKweisiMfume,0
335,RepMMM,0
336,RepCarolMiller,0
337,RepMaryMiller,0
338,RepAlexMooney,0
339,RepBarryMoore,0
340,RepBlakeMoore,0
341,RepGwenMoore,0
342,RepJoeMorelle,0
343,RepMullin,0
344,RepGregMurphy,0
345,RepStephMurphy,0
346,RepJerryNadler,0
347,gracenapolitano,0
348,RepRichardNeal,0
349,RepJoeNeguse,0
350,RepTroyNehls,0
351,RepNewhouse,0
352,RepMarieNewman,0
353,DonaldNorcross,0
354,RepRalphNorman,0
355,EleanorNorton,0
356,RepOHalleran,0
357,JayObernolte,0
358,Ilhan,0
359,RepBurgessOwens,0
360,CongPalazzo,0
361,FrankPallone,0
362,USRepGaryPalmer,0
363,RepJimmyPanetta,0
364,RepChrisPappas,0
365,BillPascrell,0
366,RepDonaldPayne,0
367,SpeakerPelosi,0
368,RepPerlmutter,0
369,RepScottPeters,0
370,RepPfluger,0
371,RepDeanPhillips,0
372,chelliepingree,0
373,StaceyPlaskett,0
374,repmarkpocan,0
375,RepKatiePorter,0
376,RepPressley,0
377,RepDavidEPrice,0
378,RepMikeQuigley,0
379,RepRaskin,0
380,GReschenthaler,0
381,RepKathleenRice,0
382,RepTomRice,0
383,cathymcmorris,0
384,RepMikeRogersAL,0
385,RepJohnRose,0
386,RepRosendale,0
387,RepDeborahRoss,0
388,RepDavidRouzer,0
389,RepChipRoy,0
390,RepRoybalAllard,0
391,RepRaulRuizMD,0
392,Call_Me_Dutch,0
393,RepBobbyRush,0
394,RepTimRyan,0
395,Kilili_Sablan,0
396,RepMariaSalazar,0
397,RepLindaSanchez,0
398,RepSarbanes,0
399,SteveScalise,0
400,RepMGS,0
401,janschakowsky,0
402,RepAdamSchiff,0
403,RepSchneider,0
404,RepSchrader,0
405,RepKimSchrier,0
406,RepDavid,0
407,AustinScottGA08,0
408,BobbyScott,0
409,PeteSessions,0
410,RepTerriSewell,0
411,BradSherman,0
412,RepSherrill,0
413,CongMikeSimpson,0
414,RepSires,0
415,RepSlotkin,0
416,RepAdamSmith,0
417,RepAdrianSmith,0
418,RepJasonSmith,0
419,RepSmucker,0
420,RepDarrenSoto,0
421,RepSpanberger,0
422,RepSpartz,0
423,RepSpeier,0
424,Rep_Stansbury,0
425,RepGregStanton,0
426,RepPeteStauber,0
427,RepSteel,0
428,RepStefanik,0
429,RepBryanSteil,0
430,RepGregSteube,0
431,RepHaleyStevens,0
432,RepChrisStewart,0
433,RepStricklandWA,0
434,RepTomSuozzi,0
435,RepSwalwell,0
436,RepMarkTakano,0
437,claudiatenney,0
438,BennieGThompson,0
439,RepThompson,0
440,RepTiffany,0
441,RepTimmons,0
442,repdinatitus,0
443,RepRashida,0
444,RepPaulTonko,0
445,NormaJTorres,0
446,RepRitchie,0
447,RepLoriTrahan,0
448,RepDavidTrone,0
449,RepMikeTurner,0
450,RepUnderwood,0
451,RepDavidValadao,0
452,RepBethVanDuyne,0
453,RepJuanVargas,0
454,RepVeasey,0
455,NydiaVelazquez,0
456,RepAnnWagner,0
457,RepWalberg,0
458,RepWalorski,0
459,michaelgwaltz,0
460,RepDWStweets,0
461,RepBonnie,0
462,RepWebster,0
463,PeterWelch,0
464,RepWesterman,0
465,RepWexton,0
466,RepSusanWild,0
467,RepNikema,0
468,RepRWilliams,0
469,RepWilson,0
470,RepJoeWilson,0
471,RobWittman,0
472,rep_stevewomack,0
473,RepJohnYarmuth,0
474,RepLeeZeldin,0
